year,global_moving_temp(7Year),city_moving_temp(7Year),global_avg_temp,city_avg_temp
1750,,,8.72,
1751,,,7.98,
1752,,,5.78,
1753,,,8.39,
1754,,,8.47,
1755,,,8.36,
1756,8.078571429,,8.85,
1757,8.121428571,,9.02,
1758,7.944285714,,6.74,
1759,8.26,,7.99,
1760,8.088571429,,7.19,
1761,8.131428571,,8.77,
1762,8.167142857,,8.61,
1763,7.974285714,,7.5,
1764,7.885714286,,8.4,
1765,8.101428571,,8.25,
1766,8.161428571,,8.41,
1767,8.308571429,,8.22,
1768,8.024285714,,6.78,
1769,7.892857143,,7.69,
1770,7.92,,7.69,
1771,7.841428571,,7.85,
1772,7.832857143,,8.19,
1773,7.805714286,,8.22,
1774,7.884285714,,8.77,
1775,8.227142857,,9.18,
1776,8.314285714,,8.3,
1777,8.395714286,,8.26,
1778,8.494285714,,8.54,
1779,8.607142857,,8.98,
1780,8.78,,9.43,
1781,8.684285714,,8.1,
1782,8.501428571,,7.9,
1783,8.412857143,,7.68,
1784,8.355714286,,7.86,
1785,8.187142857,,7.36,
1786,8.084285714,,8.26,
1787,7.884285714,,8.03,
1788,7.934285714,,8.45,
1789,7.995714286,,8.33,
1790,8.038571429,,7.98,
1791,8.091428571,,8.23,
1792,8.195714286,,8.09,
1793,8.191428571,,8.23,
1794,8.262857143,,8.53,
1795,8.248571429,,8.35,
1796,8.24,,8.27,
1797,8.315714286,,8.51,
1798,8.378571429,,8.67,
1799,8.438571429,,8.51,
1800,8.474285714,,8.48,
1801,8.482857143,,8.59,
1802,8.515714286,,8.58,
1803,8.548571429,,8.5,
1804,8.595714286,,8.84,
1805,8.58,,8.56,
1806,8.568571429,,8.43,
1807,8.54,,8.28,
1808,8.402857143,,7.63,
1809,8.188571429,,7.08,
1810,7.962857143,,6.92,
1811,7.68,,6.86,
1812,7.464285714,,7.05,
1813,7.365714286,,7.74,
1814,7.267142857,,7.59,
1815,7.211428571,,7.24,
1816,7.191428571,,6.94,
1817,7.2,,6.98,
1818,7.338571429,,7.83,
1819,7.384285714,,7.37,
1820,7.367142857,,7.62,
1821,7.438571429,,8.09,
1822,7.574285714,,8.19,
1823,7.685714286,,7.72,
1824,7.91,,8.55,
1825,7.99,,8.39,
1826,8.131428571,,8.36,
1827,8.301428571,,8.81,
1828,8.312857143,,8.17,
1829,8.277142857,,7.94,
1830,8.391428571,,8.52,
1831,8.261428571,,7.64,
1832,8.127142857,,7.45,
1833,8.077142857,,8.01,
1834,7.982857143,7.1,8.15,7.1
1835,7.871428571,6.34,7.39,5.58
1836,7.837142857,6.473333333,7.7,6.74
1837,7.674285714,6.5575,7.38,6.81
1838,7.655714286,6.564,7.51,6.59
1839,7.681428571,6.686666667,7.63,7.3
1840,7.651428571,6.687142857,7.8,6.69
1841,7.585714286,6.645714286,7.69,6.81
1842,7.675714286,6.831428571,8.02,6.88
1843,7.742857143,6.804285714,8.17,6.55
1844,7.781428571,6.747142857,7.65,6.41
1845,7.83,6.788571429,7.85,6.88
1846,7.961428571,6.703333333,8.55,
1847,8.002857143,7.086666667,8.09,8.99
1848,8.044285714,7.051666667,7.98,6.6
1849,8.038571429,7.018333333,7.98,6.68
1850,8,7.103333333,7.9,7.06
1851,8.075714286,7.333333333,8.18,7.79
1852,8.111428571,7.366666667,8.1,7.08
1853,8.038571429,7.401428571,8.04,7.61
1854,8.055714286,7.115714286,8.21,6.99
1855,8.074285714,7.217142857,8.11,7.31
1856,8.077142857,7.325714286,8,7.44
1857,8.057142857,7.447142857,7.76,7.91
1858,8.045714286,7.321428571,8.1,6.91
1859,8.067142857,7.205714286,8.25,6.27
1860,8.055714286,7.208571429,7.96,7.63
1861,8.004285714,7.235714286,7.85,7.18
1862,7.925714286,7.1,7.56,6.36
1863,7.941428571,7.1,8.11,7.44
1864,7.972857143,7.061428571,7.98,7.64
1865,7.984285714,7.081428571,8.18,7.05
1866,7.99,7.241428571,8.29,7.39
1867,8.058571429,7.168571429,8.44,7.12
1868,8.115714286,7.141428571,8.25,6.99
1869,8.24,7.422857143,8.43,8.33
1870,8.252857143,7.481428571,8.2,7.85
1871,8.272857143,7.528571429,8.12,7.97
1872,8.274285714,7.57,8.19,7.34
1873,8.282857143,7.581428571,8.35,7.47
1874,8.281428571,7.61,8.43,7.32
1875,8.225714286,7.597142857,7.86,6.9
1876,8.175714286,7.424285714,8.08,7.12
1877,8.224285714,7.465714286,8.54,8.14
1878,8.325714286,7.454285714,8.83,7.89
1879,8.322857143,7.368571429,8.17,6.74
1880,8.29,7.151428571,8.12,5.95
1881,8.267142857,7.085714286,8.27,6.86
1882,8.305714286,7.082857143,8.13,6.88
1883,8.291428571,7.061428571,7.98,6.97
1884,8.181428571,6.871428571,7.77,6.81
1885,8.051428571,6.981428571,7.92,8.66
1886,8.02,7.14,7.95,7.85
1887,7.99,7.257142857,7.91,6.77
1888,7.964285714,7.381428571,8.09,7.73
1889,7.991428571,7.552857143,8.32,8.08
1890,7.99,7.561428571,7.97,7.03
1891,8.025714286,7.675714286,8.02,7.61
1892,8.047142857,7.515714286,8.07,7.54
1893,8.062857143,7.274285714,8.06,6.16
1894,8.098571429,7.29,8.16,6.88
1895,8.107142857,7.222857143,8.15,7.26
1896,8.091428571,7.097142857,8.21,7.2
1897,8.137142857,7.164285714,8.29,7.5
1898,8.16,7.162857143,8.18,7.6
1899,8.207142857,7.097142857,8.4,7.08
1900,8.27,7.352857143,8.5,7.95
1901,8.324285714,7.408571429,8.54,7.27
1902,8.345714286,7.418571429,8.3,7.33
1903,8.347142857,7.387142857,8.22,6.98
1904,8.318571429,7.415714286,8.09,7.7
1905,8.325714286,7.414285714,8.23,7.59
1906,8.322857143,7.544285714,8.38,7.99
1907,8.244285714,7.448571429,7.95,7.28
1908,8.194285714,7.455714286,8.19,7.32
1909,8.177142857,7.34,8.18,6.52
1910,8.177142857,7.377142857,8.22,7.24
1911,8.19,7.238571429,8.18,6.73
1912,8.181428571,7.215714286,8.17,7.43
1913,8.17,7.072857143,8.3,6.99
1914,8.261428571,7.164285714,8.59,7.92
1915,8.318571429,7.28,8.59,8.13
1916,8.325714286,7.238571429,8.23,6.23
1917,8.297142857,7.24,8.02,7.25
1918,8.29,7.4,8.13,7.85
1919,8.32,7.33,8.38,6.94
1920,8.328571429,7.358571429,8.36,7.19
1921,8.325714286,7.255714286,8.57,7.2
1922,8.3,7.045714286,8.41,6.66
1923,8.327142857,7.272857143,8.42,7.82
1924,8.397142857,7.302857143,8.51,7.46
1925,8.454285714,7.361428571,8.53,8.26
1926,8.504285714,7.615714286,8.73,8.72
1927,8.527142857,7.631428571,8.52,7.3
1928,8.535714286,7.725714286,8.63,7.86
1929,8.511428571,7.768571429,8.24,6.96
1930,8.541428571,7.684285714,8.63,7.23
1931,8.571428571,7.761428571,8.72,8
1932,8.597142857,7.634285714,8.71,7.37
1933,8.541428571,7.397142857,8.34,7.06
1934,8.557142857,7.645714286,8.63,9.04
1935,8.541428571,7.57,8.52,7.33
1936,8.585714286,7.671428571,8.55,7.67
1937,8.595714286,7.694285714,8.7,7.39
1938,8.615714286,7.711428571,8.86,8.12
1939,8.622857143,7.837142857,8.76,8.25
1940,8.682857143,8.087142857,8.76,8.81
1941,8.702857143,8.057142857,8.77,8.83
1942,8.732857143,8.167142857,8.73,8.1
1943,8.762857143,8.144285714,8.76,7.51
1944,8.784285714,8.208571429,8.85,7.84
1945,8.744285714,8.13,8.58,7.57
1946,8.732857143,8.007142857,8.68,7.39
1947,8.738571429,7.895714286,8.8,8.03
1948,8.735714286,7.588571429,8.75,6.68
1949,8.715714286,7.438571429,8.59,7.05
1950,8.66,7.332857143,8.37,6.77
1951,8.628571429,7.26,8.63,7.33
1952,8.637142857,7.258571429,8.64,7.56
1953,8.664285714,7.361428571,8.87,8.11
1954,8.63,7.22,8.56,7.04
1955,8.612857143,7.135714286,8.63,6.09
1956,8.568571429,7.154285714,8.28,7.18
1957,8.62,7.261428571,8.73,7.52
1958,8.64,7.54,8.77,9.28
1959,8.652857143,7.531428571,8.73,7.5
1960,8.611428571,7.445714286,8.58,7.51
1961,8.645714286,7.6,8.8,8.12
1962,8.662857143,7.824285714,8.75,7.66
1963,8.745714286,7.928571429,8.86,7.91
1964,8.7,7.83,8.41,6.83
1965,8.665714286,7.634285714,8.53,7.91
1966,8.647142857,7.688571429,8.6,7.88
1967,8.664285714,7.812857143,8.7,8.38
1968,8.624285714,7.757142857,8.52,7.73
1969,8.602857143,7.735714286,8.6,7.51
1970,8.58,7.684285714,8.7,7.55
1971,8.607142857,7.722857143,8.6,7.1
1972,8.602857143,7.605714286,8.5,7.09
1973,8.652857143,7.562857143,8.95,7.58
1974,8.62,7.468571429,8.47,7.72
1975,8.651428571,7.377142857,8.74,7.09
1976,8.615714286,7.37,8.35,7.46
1977,8.637142857,7.381428571,8.85,7.63
1978,8.65,7.478571429,8.69,7.78
1979,8.682857143,7.591428571,8.73,7.88
1980,8.687142857,7.615714286,8.98,7.75
1981,8.787142857,7.688571429,9.17,8.23
1982,8.772857143,7.725714286,8.64,7.35
1983,8.87,7.794285714,9.03,7.94
1984,8.847142857,7.762857143,8.69,7.41
1985,8.842857143,7.61,8.66,6.71
1986,8.857142857,7.662857143,8.83,8.25
1987,8.858571429,7.794285714,8.99,8.67
1988,8.862857143,7.775714286,9.2,8.1
1989,8.902857143,7.85,8.92,7.87
1990,8.931428571,7.871428571,9.23,8.09
1991,9.001428571,7.984285714,9.18,8.2
1992,9.027142857,8.315714286,8.84,9.03
1993,9.032857143,8.234285714,8.87,7.68
1994,9.04,8.188571429,9.04,8.35
1995,9.061428571,8.262857143,9.35,8.62
1996,9.078571429,8.225714286,9.04,7.61
1997,9.074285714,8.271428571,9.2,8.41
1998,9.122857143,8.342857143,9.52,8.7
1999,9.187142857,8.165714286,9.29,7.79
2000,9.234285714,8.171428571,9.2,7.72
2001,9.287142857,8.107142857,9.41,7.9
2002,9.318571429,8.022857143,9.57,8.03
2003,9.388571429,8.184285714,9.53,8.74
2004,9.405714286,8.274285714,9.32,9.04
2005,9.431428571,8.255714286,9.7,8.57
2006,9.465714286,8.355714286,9.53,8.49
2007,9.541428571,8.401428571,9.73,8.04
2008,9.544285714,8.354285714,9.43,7.57
2009,9.535714286,8.352857143,9.51,8.02
2010,9.56,8.282857143,9.7,8.25
2011,9.588571429,8.041428571,9.52,7.35
2012,9.561428571,7.971428571,9.51,8.08
2013,9.572857143,8.18,9.61,9.95
2014,9.55,,9.57,
2015,9.607142857,,9.83,
